TABLE_SCHEMA,TABLE_NAME,ORDINAL_POSITION,COLUMN_NAME,COLUMN_TYPE,IS_NULLABLE,COLUMN_KEY,COLUMN_DEFAULT,EXTRA
bb_accounting,account,1,id,int,NO,PRI,NULL,auto_increment
bb_accounting,account,2,office_id,int,NO,,NULL,
bb_accounting,account,3,product_scheme_id,int,NO,MUL,NULL,
bb_accounting,account,4,type,varchar(32),NO,,NULL,
bb_accounting,account,5,account_number,varchar(24),NO,MUL,NULL,
bb_accounting,account,6,currency,varchar(32),NO,,NULL,
bb_accounting,account,7,opening_date,datetime,NO,,NULL,
bb_accounting,account,8,closing_date,datetime,YES,,NULL,
bb_accounting,account,9,status,varchar(32),NO,,NULL,
bb_accounting,account,10,blocked,tinyint,NO,,NULL,
bb_accounting,account,11,created_on,datetime,NO,,NULL,
bb_accounting,account,12,created_by,varchar(64),NO,,NULL,
bb_accounting,account,13,updated_on,datetime,NO,,NULL,
bb_accounting,account,14,updated_by,varchar(64),NO,,NULL,
bb_accounting,account,15,approved_on,datetime,YES,,NULL,
bb_accounting,account,16,approved_by,varchar(64),YES,,NULL,
bb_accounting,account,17,office_code,varchar(64),NO,,NULL,
bb_accounting,account_balance,1,id,int,NO,PRI,NULL,auto_increment
bb_accounting,account_balance,2,account_number,varchar(32),NO,UNI,NULL,
bb_accounting,account_balance,3,unclear_balance,"decimal(20,6)",NO,,NULL,
bb_accounting,account_balance,4,lien_balance,"decimal(20,6)",NO,,NULL,
bb_accounting,account_balance,5,available_balance,"decimal(20,6)",NO,,NULL,
bb_accounting,account_details,1,id,int,NO,PRI,NULL,auto_increment
bb_accounting,account_details,2,type,varchar(32),NO,MUL,NULL,
bb_accounting,account_details,3,account_number,varchar(64),YES,,NULL,
bb_accounting,account_details,4,product_type,varchar(32),YES,,NULL,
bb_accounting,account_details,5,routing_type,varchar(32),YES,,NULL,
bb_accounting,account_details,6,routing_value,varchar(32),YES,,NULL,
bb_accounting,account_details,7,external_account_number,varchar(64),YES,,NULL,
bb_accounting,account_details,8,external_account_type,varchar(32),YES,,NULL,
bb_accounting,account_details,9,external_account_holder_name,varchar(128),YES,,NULL,
bb_accounting,account_details,10,cancelled_cheque_image,varchar(256),YES,,NULL,
bb_accounting,account_details,11,external_ref_number,varchar(64),YES,,NULL,
bb_accounting,account_details,12,validation_status,varchar(64),YES,,NULL,
bb_accounting,account_details,13,is_deleted,tinyint(1),NO,MUL,NULL,
bb_accounting,account_details,14,external_account_customer_id,varchar(64),YES,,NULL,
bb_accounting,account_interest_details,1,id,int,NO,PRI,NULL,auto_increment
bb_accounting,account_interest_details,2,account_id,int,NO,MUL,NULL,
bb_accounting,account_interest_details,3,spread,"decimal(9,6)",NO,,NULL,
bb_accounting,account_interest_details,4,interest_setup_id,int,NO,MUL,NULL,
bb_accounting,account_interest_details,5,base_interest_master_id,int,YES,MUL,NULL,
bb_accounting,account_interest_details,6,interest_rate_type,varchar(32),NO,,NULL,
bb_accounting,account_interest_details,7,effective_rate,"decimal(9,6)",YES,,NULL,
bb_accounting,account_interest_details,8,penal_rate,"decimal(9,6)",YES,,NULL,
bb_accounting,account_interest_details,9,upfront_interest_applicable,tinyint(1),NO,,0,
bb_accounting,account_interest_details,10,upfront_interest_period,smallint,YES,,0,
bb_accounting,account_interest_details,11,upfront_interest_amount,"decimal(20,6)",NO,,0.000000,
bb_accounting,asset_classification_master,1,id,int,NO,PRI,NULL,auto_increment
bb_accounting,asset_classification_master,2,code,varchar(16),NO,,NULL,
bb_accounting,asset_classification_master,3,name,varchar(32),NO,,NULL,
bb_accounting,asset_classification_master,4,description,varchar(256),YES,,NULL,
bb_accounting,asset_classification_master,5,created_by,varchar(64),NO,,NULL,
bb_accounting,asset_classification_master,6,created_on,datetime,NO,,NULL,
bb_accounting,asset_classification_master,7,updated_by,varchar(64),NO,,NULL,
bb_accounting,asset_classification_master,8,updated_on,datetime,NO,,NULL,
bb_accounting,asset_classification_master,9,approved_by,varchar(64),YES,,NULL,
bb_accounting,asset_classification_master,10,approved_on,datetime,YES,,NULL,
bb_accounting,asset_classification_master,11,is_deleted,tinyint(1),NO,,0,
bb_accounting,asset_classification_slabs,1,id,int,NO,PRI,NULL,auto_increment
bb_accounting,asset_classification_slabs,2,asset_classification_master_id,int,NO,MUL,NULL,
bb_accounting,asset_classification_slabs,3,past_due_days_from,int,NO,,NULL,
bb_accounting,asset_classification_slabs,4,past_due_days_to,int,NO,,NULL,
bb_accounting,asset_classification_slabs,5,classification,varchar(54),NO,,NULL,
bb_accounting,asset_classification_slabs,6,is_npa,tinyint(1),NO,,0,
bb_accounting,asset_classification_slabs,7,is_deleted,tinyint(1),NO,,0,
bb_accounting,bank_product_master,1,id,int,NO,PRI,NULL,auto_increment
bb_accounting,bank_product_master,2,name,varchar(100),NO,,NULL,
bb_accounting,bank_product_master,3,code,varchar(10),NO,MUL,NULL,
bb_accounting,bank_product_master,4,bank_product_type,varchar(20),NO,MUL,NULL,
bb_accounting,bank_product_master,5,is_active,varchar(5),NO,MUL,NULL,
bb_accounting,bank_product_master,6,created_on,datetime,NO,,NULL,
bb_accounting,bank_product_master,7,created_by,varchar(64),NO,,NULL,
bb_accounting,bank_product_master,8,updated_on,datetime,NO,,NULL,
bb_accounting,bank_product_master,9,updated_by,varchar(64),NO,,NULL,
bb_accounting,bank_product_master,10,approved_on,datetime,YES,,NULL,
bb_accounting,bank_product_master,11,approved_by,varchar(64),YES,,NULL,
bb_accounting,bank_product_master,12,bank_product_sub_type,varchar(10),NO,MUL,NULL,
bb_accounting,base_interest_date_slab,1,id,int,NO,PRI,NULL,auto_increment
bb_accounting,base_interest_date_slab,2,base_interest_master_id,int,NO,MUL,NULL,
bb_accounting,base_interest_date_slab,3,start_date,date,NO,,NULL,
bb_accounting,base_interest_date_slab,4,end_date,date,YES,,NULL,
bb_accounting,base_interest_date_slab,5,is_deleted,tinyint(1),NO,,0,
bb_accounting,base_interest_master,1,id,int,NO,PRI,NULL,auto_increment
bb_accounting,base_interest_master,2,code,varchar(16),NO,MUL,NULL,
bb_accounting,base_interest_master,3,version,smallint,NO,,0,
bb_accounting,base_interest_master,4,name,varchar(32),NO,,NULL,
bb_accounting,base_interest_master,5,description,varchar(256),YES,,NULL,
bb_accounting,base_interest_master,6,currency,varchar(32),NO,,NULL,
bb_accounting,base_interest_master,7,created_on,datetime,NO,,NULL,
bb_accounting,base_interest_master,8,created_by,varchar(64),NO,,NULL,
bb_accounting,base_interest_master,9,approved_on,datetime,YES,,NULL,
bb_accounting,base_interest_master,10,approved_by,varchar(64),YES,,NULL,
bb_accounting,base_interest_master,11,updated_on,datetime,NO,,NULL,
bb_accounting,base_interest_master,12,updated_by,varchar(64),NO,,NULL,
bb_accounting,base_interest_master,13,is_deleted,tinyint(1),NO,,0,
bb_accounting,base_interest_slab,1,id,int,NO,PRI,NULL,auto_increment
bb_accounting,base_interest_slab,2,base_interest_date_slab_id,int,NO,MUL,NULL,
bb_accounting,base_interest_slab,3,term_unit,varchar(16),NO,,NULL,
bb_accounting,base_interest_slab,4,term_start,int,NO,,NULL,
bb_accounting,base_interest_slab,5,term_end,int,NO,,NULL,
bb_accounting,base_interest_slab,6,base_rate,"decimal(9,6)",NO,,NULL,
bb_accounting,base_interest_slab,7,is_deleted,tinyint(1),NO,,0,
bb_accounting,currency_master,1,id,int,NO,PRI,NULL,auto_increment
bb_accounting,currency_master,2,code,varchar(3),NO,,NULL,
bb_accounting,currency_master,3,name,varchar(64),NO,,NULL,
bb_accounting,currency_master,4,symbol,varchar(4),NO,,NULL,
bb_accounting,currency_master,5,description,varchar(256),YES,,NULL,
bb_accounting,currency_master,6,precision,int,NO,,NULL,
bb_accounting,currency_master,7,separator_format,varchar(16),NO,,NULL,
bb_accounting,currency_master,8,separator_type,char(1),NO,,NULL,
bb_accounting,currency_master,9,round_off_type,varchar(16),NO,,NULL,
bb_accounting,currency_master,10,created_by,varchar(64),NO,,NULL,
bb_accounting,currency_master,11,created_on,datetime,NO,,NULL,
bb_accounting,currency_master,12,updated_by,varchar(64),NO,,NULL,
bb_accounting,currency_master,13,updated_on,datetime,NO,,NULL,
bb_accounting,currency_master,14,approved_by,varchar(64),YES,,NULL,
bb_accounting,currency_master,15,approved_on,datetime,YES,,NULL,
bb_accounting,currency_master,16,is_deleted,tinyint(1),NO,,0,
bb_accounting,external_fund_transfer,1,id,bigint,NO,PRI,NULL,auto_increment
bb_accounting,external_fund_transfer,2,transaction_id,bigint,NO,MUL,NULL,
bb_accounting,external_fund_transfer,3,transaction_type,varchar(45),NO,,NULL,
bb_accounting,external_fund_transfer,4,service_type,varchar(45),NO,,NULL,
bb_accounting,external_fund_transfer,5,debit_identifier,varchar(45),NO,,NULL,
bb_accounting,external_fund_transfer,6,credit_identifier,varchar(45),NO,,NULL,
bb_accounting,external_fund_transfer,7,additional_credit_identifier,varchar(45),YES,,NULL,
bb_accounting,external_fund_transfer,8,additional_debit_identifier,varchar(45),YES,,NULL,
bb_accounting,external_fund_transfer,9,debit_amount,varchar(45),NO,,NULL,
bb_accounting,external_fund_transfer,10,credit_amount,varchar(45),NO,,NULL,
bb_accounting,external_fund_transfer,11,additional_credit_amount,varchar(45),YES,,NULL,
bb_accounting,external_fund_transfer,12,additional_debit_amount,varchar(45),YES,,NULL,
